x,y,ID,polyid,stockid,abulast,abulastvar,trmean,trvar
1162509.87255912,953008.425408677,382,CE12,10,111.062841622534,285170.758506003,8.44815815168328,445.264398167839
1169814.13988249,965464.478595271,383,CE13,10,10.1663484325705,2187.47258069386,0.498996402987839,2.21470987791512
1172223.90680308,974540.728608881,384,CE14,10,27.4591582431176,15653.3782638723,-0.43949447508247,15.2553380578719
1032100.13763131,1005731.63343853,113,CE29,10,30.7819481681448,26452.7013655457,-1.15034040100076,24.880020826905
1041182.80464622,1002451.01892735,682,CE30,10,0.000351604829815768,0.00000524298949690307,-0.00000496622784904029,0.00000000572664740494828
1045853.82968453,995393.248922733,114,CE31,10,14.7786736950931,14249.309572834,-0.637194527130233,6.609139588213
1050393.07507284,987596.394011968,115,CE32,10,241.588924923423,3502214.53054166,14.1957079689887,1199.9580945408
1062020.71442729,978585.930804166,116,CE33,10,197.569812854427,926002.589896717,-6.25528593957025,893.605901667399
1069086.52056789,979263.090024265,117,CE34,10,2.05840946613883,77.8727001336174,-0.300322747532598,0.108215623934231
1061812.34862927,985866.803086669,406,CE35,10,38.6378792731756,38926.8634165523,1.2578623435415,38.292109836917
1058111.1542966,989787.177060466,407,CE36,10,67.8082341206709,95955.4493112179,2.26953436150476,130.51636223062
1076660.61925893,969716.736117767,408,CE37,10,61.1682502566545,127923.525401071,4.21688831319399,117.32173334144
1082616.71180901,963711.45371966,409,CE38,10,21.7025302733577,10478.5970348755,1.5789634101274,7.64513288168331
1077808.22703381,957852.697696351,410,CE39,10,73.8443325292918,848493.981473528,2.83082220770143,76.3045809207431
1084078.80667659,947938.291773681,411,CE40,10,89.6341049904213,228682.96065078,7.41291961706492,244.039893870509
1086530.60417495,933356.531629416,412,CE41,10,7.26400918673157,1438.78430445892,-0.53927492086734,1.51360619967243
1096198.2361241,930611.256228615,413,CE42,10,744.557695516309,9679500.09236141,47.4997146867252,6118.00276227979
1097619.25562252,945924.819402882,686,CE43,10,0.000255698146820961,0.00000114052247430923,0.00000102151740239867,0.0000000022508478115055
1090561.25780979,957979.20010445,687,CE44,10,0.000265299853479168,0.00000138856765765963,0.00000133804932666913,0.00000000208907789243229
1092430.5356678,961811.432747563,688,CE45,10,0.000239569715970729,0.00000125181092705601,0.000000938033551303329,0.00000000209869256465467
1100678.77933778,951548.389920559,689,CE46,10,0.000231851667233871,0.00000104620361819638,0.00000176496827346214,0.00000000192372371649007
1104100.17409575,959597.949922803,690,CE47,10,0.000213350890326495,0.000000974505028209857,-0.00000174822518105558,0.00000000164246523880848
1109328.66905034,951965.160819023,691,CE48,10,0.000216660126612505,0.00000135904897699155,-0.000000961342933040823,0.00000000152019623332798
1110573.07120606,941609.864313262,414,CE49,10,8.91643222178859,1806.50323055085,0.453461400320016,1.69314921689002
1120897.65576847,935761.581277157,692,CE50,10,0.000206260532543522,0.000000738283115821408,0.00000156132971405449,0.00000000138364847638754
1117809.75169441,925135.168780877,418,CE51,10,54.845686114951,107970.285622577,-12.4934999947189,112.788907628628
1113305.86079792,917325.142130092,419,CE52,10,89.2875732222174,197686.831424648,-7.36438309742427,209.702686524388
1131652.17043378,918371.330349422,678,CE53,10,0.000172539739063676,0.000000471591059871317,-0.000000496472235924607,0.00000000103489396548731
1136150.60429528,915785.541153307,397,CE54,10,56.0793253407853,125442.962836976,5.30501012518786,89.5188471858901
1162455.09105141,919791.154447157,120,CE55,10,3.25728124794665,634.169373323843,-0.409958795105355,0.354949563280826
1154963.81287916,935255.440078772,121,CE56,10,30.0663260450033,39127.9090468104,0.635487458536758,19.5991823589799
1143641.10992318,957038.402659196,122,CE57,10,89.897517731225,154024.151772386,-4.21494814516321,189.311473711017
1129928.88137595,973226.853016164,123,CE58,10,138.325550877832,844138.75432927,13.3764539014464,172.528990772961
1132558.50368654,983408.305350643,124,CE59,10,101.38975189825,203405.950478545,-4.10695245083531,92.402893278421
1119309.49504729,983577.471864671,142,CE60,10,41.4785067298744,52297.9658592972,-4.01742818622335,23.1441253443401
1102842.14314791,987152.164665359,143,CE61,10,11.5261124403362,3354.67499792602,-1.69168071414743,6.01593146488084
1092216.05609238,991231.01346561,144,CE62,10,175.236689229276,1271440.59244778,4.27326899031703,210.698464932381
1088767.73028805,978929.2951919,145,CE63,10,98.265788722,422034.829939939,0.531240059363931,199.168516097958
1090146.63007629,970919.598527496,146,CE64,10,0.390701689268245,5.72433883001371,-0.0146638869160178,0.00432864193415237
1084669.88692921,991447.830788255,684,CE65,10,0.00007494172577759,0.0000000777868821583004,-0.00000055375757255746,0.00000000019746436222286
1076267.78622936,999458.360781939,147,CE66,10,239.035476473622,925326.036797046,-11.9129313881314,709.699122312465
1074969.2019259,1005612.73630538,148,CE67,10,41.6401343972917,55666.3502276754,-0.733399234535838,29.7171846433185
